country,t,onset2COWCS,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,oilreserves_full,oilreserves,oilreserves_public,treat_agri,treat_mine,treat_fuel,treat_metal,iv_transport,iv_agri,iv_mine,iv_fuel,iv_metal
HUN,1991,0.0,7.0,0.01,-0.095670156,0.001522,0.005244,0.000297,0.0,0.0,-6.891787e-06,-6.8880618e-06,-0.0021132082,-0.14381711,0.53401035,0.53401035,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
IDN,1991,0.0,7.0,0.0015,0.023513753,0.007351,0.00234,0.0076800003,0.0,1.0,0.00016450882,0.0001645051,-0.006785229,0.008659625,13.210645,13.210645,8.4795,1.0,,0.0,1.0,,0.0,0.0,1.0,0.0
IND,1991,,7.0,0.009,0.025572272,0.0041819997,0.0032600001,0.008069,0.01,0.0,0.00017397106,0.00017397478,-0.006785229,-0.023188943,7.1257787,7.1257787,7.06135,,,1.0,,,0.0,0.0,1.0,0.0
IRL,1991,0.0,7.0,0.01,-0.095670156,0.001206,0.00155,0.000312,0.01,0.0,6.41346e-05,6.413087e-05,-0.0021132082,-0.017086692,0.0,0.0,0.0,1.0,,,1.0,,0.0,0.0,1.0,0.0
IRN,1991,0.0,7.0,0.002,0.0364545,0.0066839997,0.0011519999,0.0074620005,0.0,1.0,0.0003669113,0.00036691502,-0.006785229,0.0376606,87.15468,87.15468,92.855,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0
IRQ,1991,,7.0,0.0005,0.017917594,0.003689,0.004844,0.003694,0.0,1.0,-0.00037251413,-0.00037251413,-0.006785229,-0.6220093,78.914856,78.914856,100.0,0.0,1.0,,,1.0,0.0,0.0,1.0,0.0
ISL,1991,0.0,7.0,,0.026173959,0.000798,0.001913,0.00082,0.0,0.0,,,-0.0021132082,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ISR,1991,0.0,7.0,0.0095,0.005306283,0.003436,0.0034689999,0.005525,0.01,0.0,0.00037591904,0.00037591532,-0.006785229,-0.015156193,1400.0,,0.0014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ITA,1991,0.0,7.0,0.01,0.031000923,0.001145,0.0030270002,0.001147,0.0,0.0,8.046627e-07,8.046627e-07,-0.0021132082,-0.011809174,0.974791,0.974791,0.759262,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
JAM,1991,0.0,7.0,0.01,0.010296194,0.004129,0.00616,0.001098,0.01,0.0,4.555285e-05,4.5556575e-05,-0.0055420846,-0.021222293,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0
JOR,1991,0.0,7.0,0.003,0.026532419,0.005926,0.00065899995,0.000396,0.0,0.0,0.0010704994,0.0010704994,-0.006785229,-0.104980156,20000.0,,0.02,,,,,,0.0,0.0,1.0,0.0
JPN,1991,0.0,7.0,0.01,0.026878474,0.000119000004,0.005406,0.000178,0.0,0.0,3.3043325e-05,3.3043325e-05,-0.006785229,-0.0043532047,63019.0,,0.063019,,,,0.0,0.0,0.0,0.0,1.0,0.0
KAZ,1991,0.0,7.0,0.0035,,0.006171,0.005898,0.0066210004,0.0,0.0,6.480515e-05,6.4808875e-05,-0.006785229,-0.14196649,17.829077,17.829077,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KEN,1991,0.0,7.0,0.0025,0.03269569,0.008588,0.0077649998,0.0088599995,0.01,0.0,0.00032312423,0.0003231205,-0.00549379,-0.028176647,0.0,0.0,0.0,1.0,,1.0,1.0,,0.0,0.0,1.0,0.0
KGZ,1991,0.0,7.0,0.0035,,0.0067519997,0.00447,0.005949,0.0,0.0,0.00014992803,0.00014992803,-0.006785229,-0.08325025,,,,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0
KHM,1991,,7.0,0.0055,0.0,0.002105,0.000965,0.002104,0.0,0.0,0.00035853684,0.0003585331,-0.006785229,0.006040748,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,1.0,0.0
KOR,1991,0.0,7.0,0.008,0.021860512,2.0000001e-05,0.0066039995,2.1e-05,0.0,0.0,0.000109255314,0.00010924786,-0.006785229,0.039861996,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
KWT,1991,0.0,7.0,0.0005,-0.095670156,0.0066039995,0.006745,0.003444,0.0,1.0,-0.00808762,-0.00808762,-0.006785229,0.33181506,77.73637,77.73637,96.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LAO,1991,0.0,7.0,0.0015,0.03577948,0.005139,0.005453,0.0063819997,0.0,0.0,0.00028142333,0.0002814196,-0.006785229,-0.015713444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
LBN,1991,0.0,7.0,,0.04044804,0.001314,0.007886,0.001312,0.0,0.0,0.00014477968,0.00014477596,-0.006785229,0.34827524,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
LBR,1991,0.0,7.0,0.005,-0.005108256,0.009084,0.004883,0.009038,0.01,0.0,-0.0015272945,-0.0015272908,-0.00549379,0.1859453,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LBY,1991,0.0,7.0,0.0015,,0.00792,0.00057,0.000758,0.0,1.0,0.0002681911,0.0002681911,-0.00549379,-0.113312125,32.364437,32.364437,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LIE,1991,0.0,7.0,,,0.0057260003,0.003343,0.002246,,0.0,,,-0.0021132082,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LKA,1991,,7.0,0.0075,0.019878743,0.00415,0.004853,0.004645,0.01,0.0,0.000111080706,0.000111080706,-0.006785229,0.016660871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LSO,1991,0.0,7.0,0.0015,0.044091552,0.0025499999,0.0072109997,0.002543,0.01,0.0,0.00023450702,0.00023449957,-0.00549379,-0.014827732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LTU,1991,0.0,7.0,0.01,,0.0032229999,0.004141,0.003219,0.0,0.0,1.9736588e-05,1.9736588e-05,-0.0021132082,-0.07820294,,,,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,0.0
LUX,1991,0.0,7.0,,-0.095670156,0.005302,0.000911,0.00644,0.0,0.0,,,-0.0021132082,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LVA,1991,0.0,7.0,0.009,,0.005867,0.005556,0.005795,0.0,0.0,-4.6223402e-05,-4.6219677e-05,-0.0021132082,-0.15117964,,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0
MAC,1991,0.0,7.0,,,,0.0055110003,0.0025189999,0.0,0.0,,,-0.006785229,,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,0.0
MAR,1991,0.0,7.0,0.001,0.0383298,0.0048410003,3.5e-05,0.004683,0.0,0.0,0.00022362173,0.00022362173,-0.00549379,0.029601226,2000.0,,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
MCO,1991,0.0,7.0,,,0.006838,0.003047,0.007305,,0.0,,,-0.0021132082,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MDA,1991,0.0,7.0,0.0075,-0.095670156,0.005535,0.005603,0.0055330005,0.0,0.0,6.1258674e-05,6.1258674e-05,-0.0021132082,-0.15775234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MDG,1991,0.0,7.0,0.006,0.034904286,0.008791001,0.005191,0.00020400001,0.0,0.0,0.00030130893,0.00030130893,-0.00549379,-0.08703537,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0
MDV,1991,0.0,7.0,,,,,,0.01,0.0,,,-0.006785229,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
MEX,1991,0.0,7.0,0.005,0.03440418,0.0054180003,0.001796,0.001511,0.0,0.0,0.00018370897,0.00018371269,-0.0055420846,0.004085779,41.536983,41.536983,51.454,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,0.0
MKD,1991,0.0,7.0,0.008,,0.0050230003,0.005899,0.005021,,0.0,,,-0.0021132082,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
MLI,1991,0.0,7.0,0.005,-0.0091629075,0.006906,0.00182,0.008388001,0.0,0.0,0.00020006299,0.00020006672,-0.00549379,-0.04575538,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0
MLT,1991,0.0,7.0,,-0.095670156,0.000414,0.001223,0.000907,0.0,0.0,,,-0.0021132082,,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,1.0,0.0
MMR,1991,,7.0,0.0015,0.035723455,0.0050620004,0.0019740001,0.005072,0.0,0.0,0.0001263693,0.0001263693,-0.006785229,-0.056576476,51000.0,,0.051,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0
MNG,1991,0.0,7.0,0.006,0.035918176,0.003682,0.000799,0.003734,0.0,0.0,0.00023549795,0.00023550144,-0.006785229,-0.12857977,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0
